Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.09.2011 to 30.09.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,387463,278235.15,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,387465,34309.44,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,LINCOLN CHRIST'S HOSPITAL SCHOOL,387469,109258.2,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,387471,390838.83,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,387473,86631.69,
DfE,PfS,07/09/2011,Revenue Grant,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,387477,81383.17,
DfE,PfS,07/09/2011,Building Work - Capital Programme,Schools Capital and Revenue Grants,ALDBOROUGH E-ACT FREE SCHOOL,387485,100219.65,
DfE,PfS,07/09/2011,ICT - Capital Programme,Schools Capital and Revenue Grants,ALDBOROUGH E-ACT FREE SCHOOL,387485,27980,
DfE,PfS,07/09/2011,VAT Debtor - Academy Trusts,Schools Capital and Revenue Grants,ALDBOROUGH E-ACT FREE SCHOOL,387485,25639.93,
DfE,PfS,07/09/2011,Contracted Staff,Director of Corporate Resources,SHARE IDEAS,387509,37200,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,387789,61225.8,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,387791,70455.96,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,387793,177948.68,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,387795,212337.98,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,387801,35510.51,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,387803,246362.74,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,387807,153739.34,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,387809,86743.13,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,387811,762427.86,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE CATHOLIC SCHOOLS COUNCIL,387813,28728,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,387815,40037.76,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,387819,48788.6,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,387821,176543.31,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,SDS SALVAATORIAN COLLEGE AMENITIES FUND,387831,34329.2,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,387835,84283.64,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,URSULINE HIGH SCHOOL PUBLIC FUNDS,387841,82136.16,
DfE,PfS,08/09/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,387843,71077.5,
DfE,PfS,08/09/2011,Building Work - Capital Programme,Schools Capital and Revenue Grants,BRISTOL FREE SCHOOL TRUST,387847,313500,
DfE,PfS,08/09/2011,"Furniture, Fixtures & Fittings - Capital Programme",Schools Capital and Revenue Grants,BRISTOL FREE SCHOOL TRUST,387847,39826.17,
DfE,PfS,08/09/2011,VAT Debtor - Academy Trusts,Schools Capital and Revenue Grants,BRISTOL FREE SCHOOL TRUST,387847,69385.64,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,389401,98456.39,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,389403,37739.15,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,389405,90957.37,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,389407,96740.77,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,389417,37741.5,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,SKIPTON GRAMMAR SCHOOL FOUNDATION ACCOUNT,389419,109129.5,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,389421,86114.9,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,389423,348566.54,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,389425,132102.76,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,389431,295092.81,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST BONAVENTURES RC SCHOOL ACCOUNT,389445,107506.04,
DfE,PfS,13/09/2011,"Furniture, Fixtures & Fittings - Capital Programme",Schools Capital and Revenue Grants,DISCOVERY NEW SCHOOL,389447,49621.28,
DfE,PfS,13/09/2011,ICT - Capital Programme,Schools Capital and Revenue Grants,DISCOVERY NEW SCHOOL,389447,5048.1,
DfE,PfS,13/09/2011,VAT Debtor - Academy Trusts,Schools Capital and Revenue Grants,DISCOVERY NEW SCHOOL,389447,10577.12,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,389627,59458.89,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,GLOUCESTER DIOCESAN BOARD OF FINANCE,389629,64212.78,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,389631,62000.84,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,389633,133097.69,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,389635,246391.07,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,389637,40161.16,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,389643,93165.46,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,389645,77729.78,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,WORCESTER DIOCESE BOARD FOR EDUCATION GENERAL,389647,65992.05,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,389649,248977.83,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,389653,688646.87,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,MARICOURT CONVENT OF MERCY SCHOOL ACCOUNT,389657,48538.87,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST PHILIP NERI PRIM SCHOOL BUILDING FUND,389659,66039.93,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,389661,161702.76,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,RCS ARUNDEL AND BRIGHTON ST PETERS SCHOOL SHOREHAM GOVS. ARUNDEL,389663,58950,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,389665,51300,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,CANON PALMER SCHOOL GOVERNORS LETTINGS,389667,80550.77,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,389673,25278.08,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,THE TRINITY SCHOOL FUND,389675,39463.2,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,389677,103249.47,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,389681,99948.11,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,TRURO DIOCESAN BOARD OF FINANCE - DEVOLVED FORMULA CAPITAL CAPITAL ACCOUNT,389683,121283.33,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST RICHARDS ROMAN CATHOLIC PRIMARY SCHOOL,389685,127910.69,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,389687,175874.32,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,389689,85564.75,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,389691,245239.81,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,PARSON CROSS CHURCH OF ENGLAND PRIMARY SCHOOL SD,389693,153395.56,
DfE,PfS,13/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST CLEMENT'S CATHOLIC PRIMARY SCHOOL,389695,63450,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,390237,4403638.02,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,390237,826015,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,BARNET,390239,1508672,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,390241,4423428.89,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,390241,763947,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,390243,1292222,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,390243,220958,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,390245,1131506,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,390247,7267226.29,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,390247,449642,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,390249,9052639.35,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,390249,2007040,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,390251,1136109,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,390251,1222466,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,390253,1224993,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,HARINGEY,390253,1417225,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,390255,749373,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,390255,385829,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,390257,4609749.68,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,390259,1728922,
DfE,PfS,14/09/2011,Revenue Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,390259,444603,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,390261,1355876,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,390263,544055,
DfE,PfS,14/09/2011,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,390265,955357,
