Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,24/11/2014,Spend on Inventory - General,Defence Equipment + Support,DS SMITH CORRUGATED PACKAGING LIMITED,LE10 3BX,407246,Spend on Inventory - General,"£63,391.38"
Ministry of Defence,Ministry of Defence,11/11/2014,Spend on Inventory - General,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,401235,Spend on Inventory - General,"£63,175.28"
Ministry of Defence,Ministry of Defence,12/11/2014,General services and support,Defence Equipment + Support,PARK AIR SYSTEMS LTD,PE6 8UE,401985,Defence equipment CLS/IOS service charge,"£62,537.77"
Ministry of Defence,Ministry of Defence,10/11/2014,Fuel for military use,Navy Command,ARVAL UK LTD,SN5 6PE,400723,Oil and lubricants consumed excluding those from the inventory system,"£62,417.52"
Ministry of Defence,Ministry of Defence,13/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,TLMNEXUS LTD,BN1 6AF,402692,Equipment support non-project costs,"£62,400.00"
Ministry of Defence,Ministry of Defence,27/11/2014,Spend on Inventory - General,Defence Equipment + Support,SURVITEC GROUP LIMITED,CH41 1HQ,409360,Spend on Inventory - General,"£62,396.73"
Ministry of Defence,Ministry of Defence,11/11/2014,Externally delivered education and training,Land Forces,INZPIRE LIMITED,LN6 3QR,401400,External military training ,"£62,365.76"
Ministry of Defence,Ministry of Defence,20/11/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,GUILDFORD BOROUGH COUNCIL,GU2 4BB,405086,Rent buildings - non civil estate property and married quarter property,"£62,292.16"
Ministry of Defence,Ministry of Defence,27/11/2014,Spend on Inventory - General,Defence Equipment + Support,TVS SUPPLY CHAIN SOLUTIONS LIMITED,PR6 7AJ,409402,Spend on Inventory - General,"£62,157.62"
Ministry of Defence,Ministry of Defence,13/11/2014,Medical treatment & stores and welfare services,Land Forces,WAVELL COMMUNITY INFANT  AND NURSERY SCHOOL,DL9 3BJ,402729,Schools + community relations initiatives,"£62,000.00"
