Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.06.2010 to 30.06.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SHROPSHIRE COUNCIL,237842,3999443.98
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,TELFORD AND WREKIN BOROUGH COUNCIL,237844,7576551.58
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CORNWALL COUNCIL,237846,9221649.96
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CUMBRIA COUNTY COUNCIL,237848,14051531.33
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,GLOUCESTERSHIRE COUNTY COUNCIL,237850,16850906.52
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HERTFORDSHIRE COUNTY COUNCIL,237852,15918479.99
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ISLE OF WIGHT COUNCIL,237854,9584665.86
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LINCOLNSHIRE COUNTY COUNCIL,237856,14126062.68
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORFOLK COUNTY COUNCIL,237858,14504918.53
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTONSHIRE COUNTY COUNCIL,237860,4212812
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTHUMBERLAND COUNTY COUNCIL,237862,6024687.93
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORDSHIRE COUNTY COUNCIL,237864,7667394.95
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOMERSET COUNTY COUNCIL,237866,4816904.35
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SUFFOLK COUNTY COUNCIL,237868,7555268.04
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SURREY COUNTY COUNCIL,237870,11454688.66
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WARWICKSHIRE COUNTY COUNCIL,237872,5353162.43
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WEST SUSSEX COUNTY COUNCIL,237874,10797692.37
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER CITY COUNCIL,237876,27449285.67
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LAMBETH LONDON BOROUGH COUNCIL,237878,4191427.91
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,KENSINGTON AND CHELSEA ROYAL BOROUGH COUNCIL,237880,1790963.4
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HACKNEY LONDON BOROUGH COUNCIL,237882,10568299.91
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK LONDON BOROUGH COUNCIL,237884,6448039.76
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HAMMERSMITH AND FULHAM LONDON BOROUGH COUNCIL,237886,1935365.36
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,GREENWICH LONDON BOROUGH COUNCIL,237888,2740421.39
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WANDSWORTH LONDON BOROUGH COUNCIL,237890,6954896.8
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CAMDEN LONDON BOROUGH COUNCIL,237892,2174787.67
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ISLINGTON LONDON BOROUGH COUNCIL,237894,2731297.27
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,TOWER HAMLETS LONDON BOROUGH COUNCIL,237896,20109649.82
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LEWISHAM LONDON BOROUGH COUNCIL,237900,3527651.63
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BEDFORDSHIRE CENTRAL COUNCIL,237902,2852764.27
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BEDFORD BOROUGH COUNCIL,237904,1764471.27
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CHESHIRE WEST AND CHESTER COUNCIL,237906,3726287.11
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CHESHIRE EAST COUNCIL,237908,3716246.68
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CHETHAMS SCHOOL OF MUSIC,238100,2000000
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,238262,28325.8
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,238266,152234.82
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,HEREFORD DIOCESAN BOARD OF FINANCE,238270,95421.09
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,238272,48825.93
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,238276,65188.61
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON ST PETERS AND MERROW GRANGE SCHOOL,238280,25077.02
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,238282,101121.84
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,238286,97142.19
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,ST THOMAS ROMAN CATHOLIC PRIMARY SCHOOL BUILDING FUND,238288,34916.36
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),238290,177803.43
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,238296,41124.86
DfE,PfS,04/06/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,238304,97069.65
DfE,PfS,09/06/2010,Design Advice,Design,DEGW UK LIMITED,240194,52121.97
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,241260,94018.01
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,241262,26923.95
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,241266,102852.23
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,241270,765852.51
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,241274,64775.3
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,241276,31679.83
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,241280,107997.19
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,241288,147588.36
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),241300,266921.62
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED PORTSMOUTH ST EDMUNDS ROOF PROJ,241310,32479.9
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,CORVEDALE SCHOOL GOVERNORS,241314,45000
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,241316,171043.86
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,THE JEWISH COMMUNITY SECONDARY SCHOOL TRUST,241328,2037266.22
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,241358,71997.71
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,241360,71943.05
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,241364,39974.12
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,241370,89497.75
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,WORCESTER DIOCESE BOARD FOR EDUCATION GENERAL,241372,40317.19
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,241374,75188.78
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,241378,148122.5
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON ST PETERS AND MERROW GRANGE SCHOOL,241380,65712.53
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,241382,28518.75
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,241384,94325.43
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,241386,59611.59
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,241390,80781.11
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,241394,26043.75
DfE,PfS,15/06/2010,Capital Grant,Schools Capital and Revenue Grants,JEWISH FREE SCHOOL GENERAL CHARITABLE TRUST NO2 ACCOUNT,241398,51192.84
