Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.10.2011 to 31.10.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,396620,27796.5,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,396622,36238.59,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,396632,236893.58,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,396634,42162.63,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,396640,166672.68,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,396642,164047.39,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,SKIPTON GRAMMAR SCHOOL FOUNDATION ACCOUNT,396646,33475.5,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHRIST THE KING SCHOOL FUND ACCOUNT,396648,82080,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,396652,123639.55,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,396654,127019.9,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,396658,29790.26,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,RCS ARUNDEL AND BRIGHTON ST PETERS SCHOOL SHOREHAM GOVS. ARUNDEL,396660,32401.46,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,396662,78484.78,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,396670,42931.4,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,396674,172618.2,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,396676,49836.67,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,396678,29943.05,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,396680,42772.71,
