Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Descriptions,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Social Enterprise North West Limited,2329,"32,820.00",SEP - Social Enterprise Programme grant,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Consortia of Ethnic Minority Organisations Limited,2214,"31,417.25",IRP - Improving Reach Programm grant,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Raising Educational Ethnic Minority Achievement Project - REEMAP,2188,"29,125.00","IRP - Improving Reach Programme
",,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Community First in Herefordshire & Worcestershire,2059,"28,687.75",MOD - Modernisation Grants,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Voluntary Organisations' Network North East,2233,"27,747.25","IRP - Improving Reach Programme grant
",,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,The North East Social Enterprise Partnership Limited,2328,"27,505.00",SEP - Social Enterprise Programme grant,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Waveney Community Forum CVS Ltd,1733,"27,025.00",CIPB - Capital Investment Programme Strand B,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS LLP,3000009677,"969,155.78",Professional Services January and February 2010,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Consultancy,IT AND TELECOMS BRANCH,ATKINS LTD,3000009647,"32,338.00",ICT Consultancy ,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000009661,"970,332.75",ICT services,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,URBAN FORUM,3000009682,"32,044.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY ACTION NETWORK,3000009654,"41,237.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000009666,"77,500.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NCVYS,3000009673,"80,714.00",First payment Strategic grant 2010-11,,,,,
