Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,Home Office,01/12/2010,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1839603,"7,352,656.74"
Home Office,Home Office,23/12/2010,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1878148,"7,347,108.16"
Home Office,Home Office,21/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1851440,"2,078,399.34"
Home Office,Home Office,23/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1822004,"1,714,496.99"
Home Office,Home Office,10/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1858036,"643,029.33"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1877910,"411,250.00"
Home Office,Home Office,01/12/2010,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1841766,"393,114.13"
Home Office,Home Office,10/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,HEWLETT PACKARD,1851494,"215,021.30"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1877913,"146,697.58"
Home Office,Home Office,06/12/2010,"IT, Broadcasting & Telecomms.IT Run Cost – Info Support",CPG - Crime & Policing Group,SAVVIS UK LTD,1848802,"142,458.49"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1877908,"117,500.00"
Home Office,Home Office,06/12/2010,"IT, Broadcasting & Telecomms.IT Run Cost – Info Support",CPG - Crime & Policing Group,SAVVIS UK LTD,1848890,"59,224.29"
Home Office,Home Office,06/12/2010,"IT, Broadcasting & Telecomms.IT Run Cost – Info Support",CPG - Crime & Policing Group,SAVVIS UK LTD,1848906,"36,169.86"
Home Office,Home Office,31/12/2010,"IT, Broadcasting & Telecomms.IT Run Costs Other - ADMN",CPG - Crime & Policing Group,VODAFONE LTD,1882434,"26,437.50"
Home Office,Home Office,07/12/2010,"Science, Technical & Research.Computer services - PROG",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1858090,"43,732.33"
Home Office,Home Office,07/12/2010,"Science, Technical & Research.Computer services - PROG",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1858051,"27,610.15"
